,País,Apellido,y,c
5402,Ecuador,Alfonso,0.0,Ecuador
5410,Perú,Alfonso,0.0,Peru
5397,Bolivia,Alfonso,0.0,Bolivia
5398,Chile,Alfonso,0.0,Chile
5396,Argentina,Alfonso,0.0,Argentina
5409,Paraguay,Alfonso,0.0,Paraguay
5413,Uruguay,Alfonso,0.0,Uruguay
5401,Cuba,Alfonso,0.09170305676855896,Cuba
5412,República Dominicana,Alfonso,0.0,Dominicana
5411,Puerto Rico,Alfonso,0.0,Puerto Rico
10916,México,Alicea,0.0,Mexico
10914,Guatemala,Alicea,0.0,Guatemala
10913,El Salvador,Alicea,0.0,El Salvador
10915,Honduras,Alicea,0.0,Honduras
10917,Nicaragua,Alicea,0.0,Nicaragua
10910,Costa Rica,Alicea,0.0,Costa Rica
10918,Panamá,Alicea,0.0,Panama
10909,Colombia,Alicea,0.0,Colombia
10924,Venezuela,Alicea,0.0,Venezuela
10912,Ecuador,Alicea,0.0,Ecuador
10920,Perú,Alicea,0.0,Peru
10907,Bolivia,Alicea,0.0,Bolivia
10908,Chile,Alicea,0.0,Chile
10906,Argentina,Alicea,0.0,Argentina
10919,Paraguay,Alicea,0.0,Paraguay
10923,Uruguay,Alicea,0.0,Uruguay
10911,Cuba,Alicea,0.0,Cuba
10922,República Dominicana,Alicea,0.0,Dominicana
10921,Puerto Rico,Alicea,0.03925233644859814,Puerto Rico
6394,México,Almeida,0.0,Mexico
6392,Guatemala,Almeida,0.0,Guatemala
6391,El Salvador,Almeida,0.0,El Salvador
6393,Honduras,Almeida,0.0,Honduras
6395,Nicaragua,Almeida,0.0,Nicaragua
6388,Costa Rica,Almeida,0.0,Costa Rica
6396,Panamá,Almeida,0.0,Panama
6387,Colombia,Almeida,0.0,Colombia
6402,Venezuela,Almeida,0.0,Venezuela
6390,Ecuador,Almeida,0.030791788856304986,Ecuador
6398,Perú,Almeida,0.0,Peru
6385,Bolivia,Almeida,0.0,Bolivia
6386,Chile,Almeida,0.0,Chile
